"N","J","Distribution","Response","Alpha_Mean","Omega_Mean"
10,3,"heavy","acquiescent",0.572375097661462,0.682704780777999
10,3,"heavy","consistent",0.572636417890714,0.702271055632642
10,3,"heavy","extreme",0.513056084579875,0.670921761563051
10,3,"heavy","inconsistent",0.163077036169246,0.477409039323934
10,3,"normal","acquiescent",0.697389743527332,0.757954199785869
10,3,"normal","consistent",0.696740703264886,0.769151519518111
10,3,"normal","extreme",0.666345277234333,0.74606369831337
10,3,"normal","inconsistent",0.318804966994245,0.567626716708927
10,3,"skewed","acquiescent",0.664391513276048,0.743849223518831
10,3,"skewed","consistent",0.59505681038914,0.699417091266311
10,3,"skewed","extreme",0.604082312050067,0.710503075680177
10,3,"skewed","inconsistent",0.311183780083614,0.550262466453223
10,10,"heavy","acquiescent",0.856315298084257,NA
10,10,"heavy","consistent",0.846546564930672,NA
10,10,"heavy","extreme",0.836374500715421,NA
10,10,"heavy","inconsistent",0.646418483353979,NA
10,10,"normal","acquiescent",0.878613851988996,NA
10,10,"normal","consistent",0.894544837974589,NA
10,10,"normal","extreme",0.863072308884783,NA
10,10,"normal","inconsistent",0.676595523782971,NA
10,10,"skewed","acquiescent",0.870159707767557,NA
10,10,"skewed","consistent",0.842472880864846,NA
10,10,"skewed","extreme",0.829232152095321,NA
10,10,"skewed","inconsistent",0.65354859063117,NA
10,20,"heavy","acquiescent",0.903902732678299,NA
10,20,"heavy","consistent",0.884637870228995,NA
10,20,"heavy","extreme",0.904098827074452,NA
10,20,"heavy","inconsistent",0.769618976490224,NA
10,20,"normal","acquiescent",0.944332214907907,NA
10,20,"normal","consistent",0.933067619583174,NA
10,20,"normal","extreme",0.942794161795675,NA
10,20,"normal","inconsistent",0.816354990487615,NA
10,20,"skewed","acquiescent",0.907813884115949,NA
10,20,"skewed","consistent",0.921364515939342,NA
10,20,"skewed","extreme",0.925252594182223,NA
10,20,"skewed","inconsistent",0.832441036374258,NA
30,3,"heavy","acquiescent",0.683083852280738,0.720138237658545
30,3,"heavy","consistent",0.680575867910491,0.713757018157832
30,3,"heavy","extreme",0.649963332262115,0.696339931243693
30,3,"heavy","inconsistent",0.372711540879423,0.507033700838719
30,3,"normal","acquiescent",0.724061209826084,0.751867274766493
30,3,"normal","consistent",0.730407139401314,0.750861954093132
30,3,"normal","extreme",0.694693390769231,0.726936892500738
30,3,"normal","inconsistent",0.4759093747864,0.558272842465583
30,3,"skewed","acquiescent",0.706686774129697,0.738318648342871
30,3,"skewed","consistent",0.707787458326455,0.741172781625337
30,3,"skewed","extreme",0.693080585486683,0.723896030808028
30,3,"skewed","inconsistent",0.429718637153364,0.556899199484279
30,10,"heavy","acquiescent",0.88777982671096,0.891619654246822
30,10,"heavy","consistent",0.852112461417036,0.855765117436062
30,10,"heavy","extreme",0.874477238993289,0.878236126204393
30,10,"heavy","inconsistent",0.671625032082601,0.671860652078954
30,10,"normal","acquiescent",0.907613970302645,0.910573515672632
30,10,"normal","consistent",0.898807428848974,0.901847256023582
30,10,"normal","extreme",0.906648170006914,0.90973227268914
30,10,"normal","inconsistent",0.751488644037565,0.755323436157679
30,10,"skewed","acquiescent",0.877272436470698,0.878568768988238
30,10,"skewed","consistent",0.90018034242236,0.903858057089497
30,10,"skewed","extreme",0.883943681453615,0.888355197960506
30,10,"skewed","inconsistent",0.721661102054062,0.729898497629054
30,20,"heavy","acquiescent",0.935508253727691,0.937453837334745
30,20,"heavy","consistent",0.938488805430441,0.940474738236187
30,20,"heavy","extreme",0.929458143948662,0.931624590493461
30,20,"heavy","inconsistent",0.814837380665666,0.80345752503099
30,20,"normal","acquiescent",0.951357108919557,0.952923405195668
30,20,"normal","consistent",0.946961299319526,0.948576066757962
30,20,"normal","extreme",0.949433671578954,0.95120510116788
30,20,"normal","inconsistent",0.856142618313566,0.859440392764015
30,20,"skewed","acquiescent",0.941611063033178,0.94329109766032
30,20,"skewed","consistent",0.938673056499201,0.940914905977933
30,20,"skewed","extreme",0.939087677279047,0.941342642006517
30,20,"skewed","inconsistent",0.840840289865659,0.842821533135047
50,3,"heavy","acquiescent",0.709412609198537,0.72734870012145
50,3,"heavy","consistent",0.715880374982839,0.732797071174415
50,3,"heavy","extreme",0.678473265944196,0.699374498296507
50,3,"heavy","inconsistent",0.414795395213102,0.495421287226532
50,3,"normal","acquiescent",0.737459307108049,0.751577602059385
50,3,"normal","consistent",0.727627964290265,0.741845584704098
50,3,"normal","extreme",0.720343865623602,0.733045541376222
50,3,"normal","inconsistent",0.489513866448292,0.548320451026986
50,3,"skewed","acquiescent",0.740708401291521,0.753071439702532
50,3,"skewed","consistent",0.710452374234645,0.726722376131318
50,3,"skewed","extreme",0.726639518874473,0.739214178741565
50,3,"skewed","inconsistent",0.445881739284245,0.536199802705217
50,10,"heavy","acquiescent",0.895504461127582,0.898378873455395
50,10,"heavy","consistent",0.869664322675867,0.873446492856854
50,10,"heavy","extreme",0.875708128734415,0.879251966539787
50,10,"heavy","inconsistent",0.703245219996584,0.709107262646077
50,10,"normal","acquiescent",0.909210964784824,0.911314198792117
50,10,"normal","consistent",0.897329039800423,0.899736373713444
50,10,"normal","extreme",0.903229918515388,0.905555577953683
50,10,"normal","inconsistent",0.750968698950248,0.756769243401017
50,10,"skewed","acquiescent",0.899470757413807,0.901769414736059
50,10,"skewed","consistent",0.892290862643987,0.894522539853542
50,10,"skewed","extreme",0.896535547038305,0.899366881281368
50,10,"skewed","inconsistent",0.735050977279967,0.740137868535564
50,20,"heavy","acquiescent",0.934081601323278,0.935754867545572
50,20,"heavy","consistent",0.93605484177303,0.937611174333849
50,20,"heavy","extreme",0.935912923916938,0.937418435636734
50,20,"heavy","inconsistent",0.845399664270507,0.848571564931504
50,20,"normal","acquiescent",0.953098540262091,0.954052392260681
50,20,"normal","consistent",0.947868298397709,0.949013715733739
50,20,"normal","extreme",0.946337628301951,0.947602994531043
50,20,"normal","inconsistent",0.858095458701421,0.860053470280506
50,20,"skewed","acquiescent",0.951101278573742,0.952082398302839
50,20,"skewed","consistent",0.944573794283705,0.945842468370199
50,20,"skewed","extreme",0.946504687330107,0.947693561496618
50,20,"skewed","inconsistent",0.847692470408376,0.849971478873242
100,3,"heavy","acquiescent",0.715869045810546,0.725778188380847
100,3,"heavy","consistent",0.708440823902685,0.721167820988409
100,3,"heavy","extreme",0.712572585364427,0.726705500795612
100,3,"heavy","inconsistent",0.459310235792936,0.498726048498465
100,3,"normal","acquiescent",0.755629902773151,0.761300672068224
100,3,"normal","consistent",0.723141597714867,0.731521885616466
100,3,"normal","extreme",0.736066720918152,0.743070119443207
100,3,"normal","inconsistent",0.505312738980939,0.53788904518055
100,3,"skewed","acquiescent",0.744255519091648,0.752217081415506
100,3,"skewed","consistent",0.721497705320139,0.729457463915826
100,3,"skewed","extreme",0.724848379751518,0.733003143539565
100,3,"skewed","inconsistent",0.470005175285689,0.512049166277705
100,10,"heavy","acquiescent",0.897128265391272,0.8987890976918
100,10,"heavy","consistent",0.894951779442136,0.896688889774755
100,10,"heavy","extreme",0.885047160775479,0.887218296480204
100,10,"heavy","inconsistent",0.727491802309644,0.731367261639018
100,10,"normal","acquiescent",0.90889522597091,0.910299319369344
100,10,"normal","consistent",0.905822733980175,0.907060859345449
100,10,"normal","extreme",0.909694758988425,0.910953730391638
100,10,"normal","inconsistent",0.754114075942779,0.757646908432984
100,10,"skewed","acquiescent",0.910441185966197,0.911668550003109
100,10,"skewed","consistent",0.901226371194433,0.902780903695891
100,10,"skewed","extreme",0.902648309575874,0.90425854209407
100,10,"skewed","inconsistent",0.756713765851975,0.760041615084578
100,20,"heavy","acquiescent",0.946228011972525,0.947062321880837
100,20,"heavy","consistent",0.941732902049274,0.942749683633309
100,20,"heavy","extreme",0.945365553269708,0.946218323251261
100,20,"heavy","inconsistent",0.842742093860896,0.844393952204447
100,20,"normal","acquiescent",0.952948716026739,0.953590971982659
100,20,"normal","consistent",0.949414130820362,0.95013333993043
100,20,"normal","extreme",0.947887768084805,0.948593908537184
100,20,"normal","inconsistent",0.860331787503557,0.86169574333092
100,20,"skewed","acquiescent",0.953320320542409,0.953961920303598
100,20,"skewed","consistent",0.94731168408039,0.948184574879209
100,20,"skewed","extreme",0.949157126999848,0.949863169243016
100,20,"skewed","inconsistent",0.857545036530251,0.859020116278317
200,3,"heavy","acquiescent",0.734543384412556,0.738702235038035
200,3,"heavy","consistent",0.709193293868724,0.715786459772935
200,3,"heavy","extreme",0.712552638426662,0.718297405379454
200,3,"heavy","inconsistent",0.46408903281218,0.477718982792583
200,3,"normal","acquiescent",0.753301372012752,0.757765105338698
200,3,"normal","consistent",0.746803528534688,0.751613902646107
200,3,"normal","extreme",0.74000363893357,0.744196279469951
200,3,"normal","inconsistent",0.503248153372839,0.517028136105522
200,3,"skewed","acquiescent",0.744983349108617,0.749300345611367
200,3,"skewed","consistent",0.725884993028746,0.730657275280589
200,3,"skewed","extreme",0.72684911846719,0.731592826856646
200,3,"skewed","inconsistent",0.490013809114038,0.517534931875017
200,10,"heavy","acquiescent",0.900196381871684,0.901293275513908
200,10,"heavy","consistent",0.889568156761012,0.89098655144742
200,10,"heavy","extreme",0.893089678922668,0.894449916654057
200,10,"heavy","inconsistent",0.740383323769902,0.742440704413134
200,10,"normal","acquiescent",0.905914029266321,0.906899516691697
200,10,"normal","consistent",0.905463642288613,0.906577398955257
200,10,"normal","extreme",0.903631422847217,0.904642041753375
200,10,"normal","inconsistent",0.755681235030247,0.757645609723401
200,10,"skewed","acquiescent",0.906963706897147,0.908094720737174
200,10,"skewed","consistent",0.901496467190237,0.902682458527967
200,10,"skewed","extreme",0.897868257611474,0.89916271692442
200,10,"skewed","inconsistent",0.757234260321076,0.759256581648066
200,20,"heavy","acquiescent",0.947059828496792,0.947625467377299
200,20,"heavy","consistent",0.938856883606489,0.939695248398118
200,20,"heavy","extreme",0.943544692227148,0.944238224526231
200,20,"heavy","inconsistent",0.846276881599143,0.84746572396536
200,20,"normal","acquiescent",0.953088586286948,0.953550528586061
200,20,"normal","consistent",0.948708389973799,0.949290369541944
200,20,"normal","extreme",0.950090023535917,0.950640742722595
200,20,"normal","inconsistent",0.865848285854968,0.866626221080145
200,20,"skewed","acquiescent",0.953586306790343,0.954058996389762
200,20,"skewed","consistent",0.949500085577691,0.950049568689703
200,20,"skewed","extreme",0.950353923977027,0.950852335866127
200,20,"skewed","inconsistent",0.863209182318174,0.864041922316568
300,3,"heavy","acquiescent",0.735509180640803,0.738389945584254
300,3,"heavy","consistent",0.729926179070705,0.733737824035153
300,3,"heavy","extreme",0.72110102518799,0.725366413600293
300,3,"heavy","inconsistent",0.477854801756131,0.49021934397614
300,3,"normal","acquiescent",0.753708609318667,0.756992675078775
300,3,"normal","consistent",0.739566220266344,0.742997502227004
300,3,"normal","extreme",0.735767956387681,0.739275933189254
300,3,"normal","inconsistent",0.488853419808838,0.498299174510978
300,3,"skewed","acquiescent",0.754504870001144,0.757596187683868
300,3,"skewed","consistent",0.741435349783902,0.7443468543509
300,3,"skewed","extreme",0.739897264041725,0.743125166131626
300,3,"skewed","inconsistent",0.489059577651514,0.499034896358685
300,10,"heavy","acquiescent",0.901059971144266,0.9020732181839
300,10,"heavy","consistent",0.896870945963534,0.897931859336847
300,10,"heavy","extreme",0.901492688599317,0.902542252580171
300,10,"heavy","inconsistent",0.74826240966833,0.749953290498208
300,10,"normal","acquiescent",0.909558448590037,0.910385665082609
300,10,"normal","consistent",0.905337047139658,0.906172790479801
300,10,"normal","extreme",0.905009262020588,0.905934253623628
300,10,"normal","inconsistent",0.759803563112548,0.761096768337061
300,10,"skewed","acquiescent",0.911126527976956,0.911918145920703
300,10,"skewed","consistent",0.901527425412271,0.902474326955562
300,10,"skewed","extreme",0.898818470472073,0.899838871581143
300,10,"skewed","inconsistent",0.761695358208179,0.763020986835372
300,20,"heavy","acquiescent",0.945490289384275,0.946075225539883
300,20,"heavy","consistent",0.943209961178772,0.943792592372335
300,20,"heavy","extreme",0.940172342025245,0.940861483014248
300,20,"heavy","inconsistent",0.859916023515956,0.860644009801241
300,20,"normal","acquiescent",0.95417436229705,0.954573553469527
300,20,"normal","consistent",0.951431824942468,0.951903403947855
300,20,"normal","extreme",0.949375510641291,0.949869377651296
300,20,"normal","inconsistent",0.867805842823863,0.868422259114541
300,20,"skewed","acquiescent",0.952968561881378,0.953361427406062
300,20,"skewed","consistent",0.950162088936043,0.950687356961858
300,20,"skewed","extreme",0.949658699189353,0.950149224245246
300,20,"skewed","inconsistent",0.865066785549699,0.865692248916671
400,3,"heavy","acquiescent",0.745471699203738,0.74823706603612
400,3,"heavy","consistent",0.731987959379195,0.735845243910905
400,3,"heavy","extreme",0.72260453215727,0.725899016421933
400,3,"heavy","inconsistent",0.462897356317626,0.471207530113131
400,3,"normal","acquiescent",0.747729867461836,0.750736479320835
400,3,"normal","consistent",0.739523373767242,0.742138680743645
400,3,"normal","extreme",0.747563659650031,0.750959814370328
400,3,"normal","inconsistent",0.477447214580766,0.484962525988739
400,3,"skewed","acquiescent",0.758802042440024,0.761523548222498
400,3,"skewed","consistent",0.742466444124978,0.745191546465217
400,3,"skewed","extreme",0.734900898225919,0.73761305551661
400,3,"skewed","inconsistent",0.492413827606388,0.49813037906356
400,10,"heavy","acquiescent",0.902507333435218,0.903381051672907
400,10,"heavy","consistent",0.890270540542213,0.891306375655923
400,10,"heavy","extreme",0.903976556500591,0.904906747613685
400,10,"heavy","inconsistent",0.735581591009488,0.736989145466162
400,10,"normal","acquiescent",0.911230824181185,0.912020799677809
400,10,"normal","consistent",0.908524148955086,0.909221118552685
400,10,"normal","extreme",0.90591023774283,0.906710092195805
400,10,"normal","inconsistent",0.761676503505598,0.762816092374347
400,10,"skewed","acquiescent",0.909402909591129,0.910107436439954
400,10,"skewed","consistent",0.907561300581412,0.908415115772727
400,10,"skewed","extreme",0.905615445645926,0.906472504670888
400,10,"skewed","inconsistent",0.757948862641493,0.759080398876247
400,20,"heavy","acquiescent",0.948969771491495,0.949418872943723
400,20,"heavy","consistent",0.944755682051892,0.945330779944266
400,20,"heavy","extreme",0.947736023261581,0.948265576439169
400,20,"heavy","inconsistent",0.858653342953137,0.859333674567469
400,20,"normal","acquiescent",0.954253441233493,0.954596618605263
400,20,"normal","consistent",0.950606431422009,0.951020986375554
400,20,"normal","extreme",0.9492532420095,0.949693082707288
400,20,"normal","inconsistent",0.868068251688405,0.868588101594608
400,20,"skewed","acquiescent",0.954356366442635,0.954699623497693
400,20,"skewed","consistent",0.950657357177744,0.951063554523514
400,20,"skewed","extreme",0.949246412135263,0.949739759875168
400,20,"skewed","inconsistent",0.865129366781579,0.865654169032174
500,3,"heavy","acquiescent",0.723495198633383,0.725577979775385
500,3,"heavy","consistent",0.743234131419503,0.746056613812908
500,3,"heavy","extreme",0.727626517417821,0.730562252129884
500,3,"heavy","inconsistent",0.459965043053601,0.468163309739312
